gender,age_range,attendance_freq,event_types,indoor_outdoor,top_event,rain_avoid,cold_tolerance,heat_sensitivity,wind_sensitivity,override_weather,scenario_concert,scenario_festival,scenario_sports,scenario_theatre,scenario_conference,user_id,preferred_event_types
Female,18-24,1–2 ori pe an / 1–2 times per year,Festivaluri / Festivals,2,Conference,4,3,3,1,4,2,2,3,1,1,63,Festival
Female,18-24,Lunar / Monthly,"Concerte / Concerts, Festivaluri / Festivals, Teatru / Theatre, Conferințe / Conferences, Expoziții / Exhibitions",3,Concert,4,3,2,5,5,2,3,3,1,3,64,Concert|Conference|Exhibition|Festival|Theatre
Male,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Festivaluri / Festivals, Evenimente sportive / Sports events",3,Concert,1,5,1,1,5,3,3,3,3,3,65,Concert|Festival|Sports
Female,18-24,Lunar / Monthly,"Concerte / Concerts, Teatru / Theatre",3,Concert,4,2,5,2,4,1,3,0,3,3,66,Concert|Theatre
Female,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Festivaluri / Festivals, Teatru / Theatre, Expoziții / Exhibitions",3,Concert,5,2,4,5,4,2,3,1,2,3,67,Concert|Exhibition|Festival|Theatre
Male,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Festivaluri / Festivals, Evenimente sportive / Sports events, Teatru / Theatre",4,Festival,2,4,3,3,4,1,3,2,3,3,68,Concert|Festival|Sports|Theatre
Female,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Festivaluri / Festivals",3,Festival,2,1,3,2,4,2,3,1,3,3,69,Concert|Festival
Female,18-24,Lunar / Monthly,"Festivaluri / Festivals, Evenimente sportive / Sports events",3,Festival,5,3,5,1,4,2,3,0,3,3,70,Festival|Sports
,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Festivaluri / Festivals, Teatru / Theatre, Expoziții / Exhibitions",3,Concert,3,2,4,2,4,2,3,0,3,3,71,Concert|Exhibition|Festival|Theatre
Female,18-24,Lunar / Monthly,"Concerte / Concerts, Festivaluri / Festivals",4,Concert,4,4,4,3,5,3,3,2,3,3,72,Concert|Festival
Female,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Festivaluri / Festivals, Teatru / Theatre, Expoziții / Exhibitions",3,Concert,4,1,3,4,5,1,3,1,2,3,73,Concert|Exhibition|Festival|Theatre
